stop_name,Population_2021,Population_2023,Population_Change_2021_2023,Total_Homes_2021,Total_Homes_2023,New_Homes_2021-2023,station_buffer,station_location
8TH & CORINTH STATION,1400,1064,-336,451,464,13,"POLYGON ((-96.78989556906471 32.747969895880495, -96.78995061319073 32.747259280654035, -96.79008781234765 32.7465566465527, -96.7903058433577 32.745868760059686, -96.79060260474837 32.745202245482076, -96.7909752370566 32.744563521171166, -96.79142015042414 32.743958737731255, -96.79193305921619 32.7433937188112, -96.79250902332802 32.74287390504838, -96.79314249578056 32.742404301703225, -96.79382737614583 32.741989430487585, -96.79455706928742 32.74163328605007, -96.79532454885093 32.74133929753549, -96.79612242489341 32.7411102955882, -96.7969430150026 32.74094848511538, -96.79777841822226 32.74085542407208, -96.79862059107465 32.74083200847139, -96.79946142495001 32.74087846376367, -96.80029282412116 32.74099434266739, -96.80110678363427 32.74117852947261, -96.80189546632897 32.74142925077548, -96.80265127824859 32.7417440925413, -96.80336694171694 32.74212002333169, -96.80403556537992 32.74255342347382, -96.80465071053939 32.74304011989113, -96.8052064531416 32.743575426261344, -96.80569744082408 32.74415418811651, -96.80611894447166 32.74477083245164, -96.8064669037848 32.745419421365504, -96.80673796642057 32.746093709218115, -96.80692952032756 32.74678720275561, -96.80703971896172 32.74749322362442, -96.80706749913789 32.74820497267332, -96.80701259134214 32.748915595424606, -96.8068755224034 32.74961824808433, -96.80665760978417 32.75030616355566, -96.8063609502586 32.75097271643677, -96.80598840020382 32.75161148678692, -96.80554354627247 32.75221632223793, -96.80503067177308 32.752781397147295, -96.80445471545316 32.7533012687308, -96.80382122395628 32.75377092951048, -96.80313629840977 32.75418585557136, -96.80240653565771 32.75454205016074, -96.80163896470522 32.75483608220965, -96.80084097898721 32.75506511940332, -96.80002026511539 32.75522695548221, -96.79918472879145 32.75532003150874, -96.79834241860247 32.75534345089502, -96.79750144843514 32.75529698804559, -96.79666991925829 32.75518109053225, -96.79585584103077 32.754996874779245, -96.7950670554888 32.754746115301565, -96.7943111605598 32.7544312275991, -96.79359543713288 32.754055244873065, -96.79292677889346 32.75362178878919, -96.7923116258996 32.75313503457042, -96.79175590254097 32.75259967075642, -96.79126496047878 32.752020854018305, -96.79084352711631 32.751404159465515, -96.79049566009586 32.750755526924145, -96.79022470825966 32.750081203705406, -96.79003327786808 32.749387684570856, -96.78992321203756 32.74868164872733, -96.78989556906471 32.747969895880495))",POINT (-96.7984815227426 32.74808773077971)
AKARD STATION,1283,1723,440,1065,1096,31,"POLYGON ((-96.7920512960108 32.78178105069934, -96.79210634568803 32.7810704360925, -96.79224358188858 32.78036780117375, -96.79246168107368 32.779679912433686, -96.7927585411103 32.779013394200625, -96.79313130158195 32.77837466486085, -96.79357637139331 32.77776987506687, -96.79408946340085 32.77720484852899, -96.79466563573419 32.77668502595814, -96.79529933940856 32.77621541269995, -96.79598447176969 32.7758005305623, -96.79671443525571 32.775444374299624, -96.79748220091078 32.7751503731714, -96.7982803760397 32.77492135794424, -96.79910127535331 32.77475953365405, -96.79993699492157 32.77466645838978, -96.80077948822442 32.7746430283023, -96.8016206435705 32.774689468982245, -96.80245236214111 32.77480533328946, -96.80326663591073 32.774989505655014, -96.80405562469647 32.77524021281465, -96.80481173159725 32.77555504087003, -96.80552767609885 32.77593095851494, -96.80619656414271 32.776364346203046, -96.80681195448581 32.77685103097743, -96.80736792071353 32.77738632662761, -96.80785910830926 32.77796507878832, -96.80828078623117 32.77858171454729, -96.8086288924992 32.77923029608507, -96.80890007335228 32.77990457783198, -96.80909171559698 32.780598066592084, -96.80920197183453 32.78130408405701, -96.80922977832067 32.782015831107465, -96.80917486528364 32.78272645328428, -96.8090377595984 32.78342910679837, -96.80881977978804 32.784117024444605, -96.80852302339811 32.784783580783774, -96.80815034686202 32.78542235596529, -96.8077053380495 32.78602719757478, -96.8071922817599 32.78659227991087, -96.80661611849102 32.78711216011826, -96.80598239687927 32.787581830636405, -96.80529722026822 32.787996767456946, -96.80456718792027 32.788352973724045, -96.80379933143757 32.788647018256505, -96.8030010470058 32.78887606861981, -96.80218002411453 32.78903791842771, -96.80134417144284 32.7891310086107, -96.80050154062587 32.78915444244452, -96.7996602486396 32.78910799419463, -96.79882839955368 32.78899211129205, -96.79801400640932 32.78880791002032, -96.79722491397689 32.78855716475456, -96.79646872314055 32.78824229085752, -96.79575271764011 32.78786632139705, -96.7950837938783 32.787432877910746, -96.79446839447074 32.786946135499804, -96.7939124461804 32.78641078258969, -96.79342130283459 32.78583197574607, -96.79299969377462 32.78521528998273, -96.7926516783342 32.78456666504066, -96.79238060678401 32.78389234815762, -96.79218908811697 32.78319883387979, -96.79207896498284 32.78249280149615, -96.7920512960108 32.78178105069934))",POINT (-96.800640525795 32.781898737514496)
ARAPAHO CENTER STATION,366,699,333,374,374,0,"POLYGON ((-96.7143817762568 32.963329737829156, -96.71443756218738 32.96261917149954, -96.71457569616643 32.96191663590011, -96.71479484600452 32.96122889656525, -96.71509289944665 32.96056257638531, -96.71546698458071 32.959924091840364, -96.71591349755295 32.95931959122719, -96.71642813732147 32.95875489547298, -96.71700594711137 32.95823544210526, -96.7176413621709 32.95776623291646, -96.71832826336787 32.9573517858255, -96.71906003611019 32.95699609139948, -96.71982963402344 32.95670257445248, -96.72062964677276 32.95647406109028, -96.72145237137818 32.95631275151743, -96.72228988633762 32.95622019886731, -96.72313412784686 32.956197294258835, -96.72397696738437 32.95624425822252, -96.72481028991722 32.956360638578914, -96.7256260719774 32.95654531478896, -96.72641645885997 32.956796508735174, -96.72717384020191 32.95711180183001, -96.72789092321662 32.95748815828699, -96.728560802881 32.95792195433188, -96.72917702840091 32.95840901307282, -96.7297336653159 32.958944644695435, -96.73022535264663 32.95952369159638, -96.73064735453387 32.96014057802251, -96.73099560587218 32.96078936373796, -96.73126675149724 32.961463801204545, -96.73145817854848 32.962157395724866, -96.73156804169304 32.96286346797054, -96.7315952809659 32.96357521829367, -96.7315396320519 32.964285792202865, -96.7314016289074 32.96498834637383, -96.73118259869398 32.9656761145585, -96.73088464906954 32.96634247275781, -96.73051064795648 32.96698100303064, -96.73006419597972 32.96758555532293, -96.72954959183711 32.968150306721476, -96.72897179093448 32.96866981756032, -96.72833635768207 32.96913908383854, -96.72764941191116 32.96955358544326, -96.72691756992681 32.96990932971243, -96.72614788076443 32.970202889916564, -96.72534775826543 32.97043143828748, -96.72452490962749 32.970592773275335, -96.72368726111912 32.97068534077, -96.72284288167678 32.97070824908214, -96.72199990512273 32.97066127753885, -96.72116645175532 32.97054487861092, -96.72035055007046 32.970360173551086, -96.71956005937022 32.97010894158548, -96.71880259400727 32.969793602762785, -96.71808544999709 32.96941719462668, -96.71741553470677 32.96898334293746, -96.71679930029961 32.968496226725364, -96.71624268157751 32.967960538013344, -96.71575103882073 32.96738143659863, -96.71532910617549 32.96676450032938, -96.71498094608636 32.96611567135679, -96.71470991021096 32.965441198881464, -96.71451860719225 32.96474757894614, -96.71440887759658 32.96404149185593, -96.7143817762568 32.963329737829156))",POINT (-96.7229885166861 32.9634527752724)
BACHMAN STATION,1102,701,-401,282,282,0,"POLYGON ((-96.86875525114094 32.85367135724187, -96.86880973027841 32.85296071320235, -96.86894646951883 32.85225799812397, -96.86916415010542 32.85156997927068, -96.86946067393228 32.85090328222543, -96.86983318381645 32.85026432709812, -96.87027809107164 32.84965926671722, -96.87079111011583 32.84909392740028, -96.87136729977763 32.84857375287176, -96.8720011109023 32.84810375186779, -96.87268643979834 32.84768844993132, -96.87341668700937 32.847331845860175, -96.87418482084627 32.84703737322663, -96.87498344506794 32.84680786733816, -96.875804870061 32.84664553795558, -96.87664118683448 32.846551948031504, -96.87748434311919 32.84652799867233, -96.87832622084196 32.84657392046836, -96.87915871423075 32.846689271275345, -96.87997380780212 32.84687294046818, -96.88076365348223 32.84712315962684, -96.88152064612201 32.847437519551214, -96.88223749668134 32.84781299344191, -96.88290730237985 32.84824596602485, -96.88352361314064 32.84873226833953, -96.88408049368809 32.84926721785774, -96.88457258070265 32.849845663546866, -96.88499513448227 32.85046203544563, -96.88534408461287 32.85111039827546, -96.88561606920653 32.851784508573026, -96.88580846732863 32.852477874793934, -96.88591942429926 32.85318381981059, -96.88594786962338 32.85389554520237, -96.88589352737382 32.854606196719764, -96.88575691892501 32.85530893029254, -96.8855393580074 32.855996977945935, -96.88524293812814 32.856663712990276, -96.88487051247552 32.85730271385544, -96.88442566649884 32.85790782595516, -96.88391268342524 32.85847322098442, -96.88333650304378 32.85899345307782, -96.88270267415254 32.859463511286904, -96.88201730112584 32.85987886787051, -96.8812869851159 32.86023552193069, -96.8805187604558 32.860530037974065, -96.8797200268769 32.86075957902505, -96.8788984781951 32.86092193397148, -96.8780620281547 32.86101553887838, -96.87721873414624 32.86103949206354, -96.87637671953554 32.86099356278959, -96.87554409535515 32.86087819348826, -96.87472888211478 32.8606944954953, -96.87393893248708 32.86044423833751, -96.87318185561574 32.86012983267534, -96.87246494377791 32.85975430706582, -96.8717951021088 32.85932127877054, -96.87117878206767 32.858834918891034, -96.87062191928676 32.85829991216766, -96.87012987640291 32.85772141183139, -96.86970739142218 32.85710498994363, -96.86935853211479 32.85645658370393, -96.86908665687837 32.855782438243885, -96.868894382445 32.85508904645913, -96.86878355874128 32.85438308645964, -96.86875525114094 32.85367135724187))",POINT (-96.87735154950711 32.85378374807901)
BAYLOR STATION,852,1054,202,569,569,0,"POLYGON ((-96.77354986986586 32.78638177459364, -96.77360507067279 32.78567116850278, -96.7737424605987 32.78496855432429, -96.77396071462441 32.784280698348724, -96.77425772912589 32.78361422458868, -96.77463064219934 32.782975551001904, -96.77507586128023 32.78237082770393, -96.77558909778804 32.78180587776452, -96.77616540846138 32.781286141156926, -96.77679924298388 32.78081662239897, -96.77748449744185 32.78040184238854, -96.77821457309828 32.78004579489664, -96.7789824399178 32.77975190813546, -96.77978070423157 32.77952301177042, -96.78060167989211 32.77936130969301, -96.78143746223469 32.77926835881548, -96.78228000413499 32.779245054091106, -96.78312119343391 32.779291619903404, -96.78395293098592 32.77940760790753, -96.78476720858261 32.77959190134353, -96.78555618600409 32.77984272578134, -96.78631226645842 32.78015766619339, -96.78702816968563 32.780533690191476, -96.78769700202413 32.78096717720518, -96.78831232276674 32.78145395332102, -96.78886820616849 32.78198933144876, -96.78935929850964 32.782568156428795, -96.78978086966505 32.78318485464736, -96.79012885868214 32.783833487683324, -96.79039991292835 32.78450780947075, -96.79059142042897 32.785201326427895, -96.79070153508243 32.785907359974516, -96.79072919450758 32.78661911083615, -96.7906741303487 32.78732972451658, -96.79053687093601 32.78803235730834, -96.79031873627315 32.788720242205564, -96.79002182539712 32.789386754084234, -96.78964899622943 32.790025473521695, -96.78920383811015 32.79063024864039, -96.78869063727709 32.79119525437913, -96.78811433562072 32.791715048620354, -96.78748048311081 32.79218462463137, -96.78679518435237 32.79259945931412, -96.78606503978482 32.79295555679655, -96.78529708209173 32.7932494869454, -96.7844987084342 32.7934784184278, -96.78367760916167 32.793640146002794, -96.78284169368932 32.79373311177827, -96.78199901425744 32.793756420228455, -96.78115768831046 32.79370984682653, -96.78032582024522 32.793593840209155, -96.77951142328568 32.793409517851494, -96.77872234223877 32.7931586552951, -96.77796617787867 32.792843669032386, -96.77725021368985 32.79246759321354, -96.7765813456766 32.792034050400495, -96.77596601591704 32.79154721665105, -96.7754101505027 32.79101178127021, -96.774919102462 32.7904329016179, -96.77449760021773 32.78981615340879, -96.77414970207421 32.789167476985156, -96.77387875717177 32.78849312008033, -96.7736873732831 32.78779957762559, -96.77357739175945 32.787093529181035, -96.77354986986586 32.78638177459364))",POINT (-96.782139520691 32.78650073933951)
BELT LINE STATION,0,0,0,0,0,0,"POLYGON ((-96.9779128225363 32.88792389712447, -96.97796644685704 32.88721320792433, -96.97810237283485 32.88651037551902, -96.97831928954234 32.88582216830431, -96.97861510622683 32.88515521367882, -96.9789869725116 32.884515934234635, -96.97943130590441 32.88391048592509, -96.97994382634546 32.88334469880483, -96.98051959746076 32.88282402091178, -96.98115307412219 32.88235346583035, -96.9818381558554 32.88193756443976, -96.98256824558094 32.881580321310764, -96.98333631312349 32.881285176169726, -96.98413496287833 32.881054970799845, -96.98495650498488 32.880891921697305, -96.98579302932377 32.88079759874466, -96.98663648162734 32.88077291010623, -96.98747874097276 32.88081809349029, -96.9883116979149 32.88093271386211, -96.98912733250873 32.88111566762932, -96.98991779147352 32.88136519326008, -96.99067546375777 32.88167888823176, -96.99139305378021 32.88205373214743, -96.99206365164345 32.88248611579879, -96.992680799646 32.882971875896246, -96.99323855445337 32.883506335132815, -96.99373154433026 32.884084347197366, -96.99415502088308 32.88470034630472, -96.99450490481371 32.88534840076705, -96.99477782524333 32.88602227009149, -96.994971152226 32.88671546505549, -96.9950830221369 32.88742131018204, -96.99511235568842 32.88813300801408, -96.99505886839808 32.88884370456925, -96.99492307340445 32.889546555345284, -96.99470627660129 32.89023479124054, -96.99441056413343 32.890901783754124, -96.9940387823726 32.891541108837956, -96.99359451056284 32.89214660878482, -96.99308202639735 32.89271245155567, -96.99250626485602 32.89323318697396, -96.99187277069909 32.89370379924457, -96.99118764507325 32.89411975529064, -96.99045748674475 32.89447704844092, -96.9896893285252 32.89477223704682, -96.98889056950408 32.895002477654785, -96.98806890374097 32.89516555241449, -96.98723224610724 32.89525989045734, -96.98638865599308 32.895284583039164, -96.98554625961727 32.895239392300056, -96.98471317169094 32.89512475355752, -96.98389741719278 32.89494177110981, -96.98310685401135 32.89469220759092, -96.98234909720317 32.894378466979575, -96.9816314455977 32.89400357142661, -96.9809608114589 32.89357113212464, -96.98034365388237 32.89308531450197, -96.9797859165705 32.892550798076215, -96.97929297058622 32.89197273135621, -96.97886956263639 32.89135668222755, -96.97851976938274 32.890708584300356, -96.97824695821942 32.89003467973782, -96.97805375489331 32.88934145911669, -96.97794201827723 32.888635598899896, -96.9779128225363 32.88792389712447))",POINT (-96.9865125789611 32.88802874954939)
BUCKNER STATION,1444,1584,140,447,447,0,"POLYGON ((-96.67653253821312 32.7183580751025, -96.676588470943 32.71764750909728, -96.67672652123305 32.716944999059976, -96.67694535770991 32.71625731027711, -96.67724287114603 32.715591065150015, -96.67761619483849 32.71495267943342, -96.678061732274 32.71434830046929, -96.6785751918114 32.71378374801013, -96.6791516280461 32.71326445820015, -96.67978548945646 32.71279543125328, -96.6804706718729 32.712381183330265, -96.68120057725415 32.712025703077195, -96.68196817720559 32.71173241324304, -96.68276608062813 32.71150413774436, -96.68358660484849 32.71134307449339, -96.68442184954698 32.71125077425049, -96.68526377277365 32.71122812570343, -96.68610426832322 32.711275346917205, -96.68693524372623 32.71139198323589, -96.68774869810873 32.711576911657005, -96.688536799173 32.71182835163635, -96.68929195856097 32.71214388221951, -96.69000690487744 32.71252046533585, -96.69067475367103 32.71295447503145, -96.69128907370194 32.71344173236022, -96.69184394885859 32.71397754559853, -96.69233403512824 32.714556755397176, -96.69275461207273 32.71517378443703, -96.69310162831346 32.715822691111335, -96.6933717405865 32.716497226719035, -96.69356234599027 32.71719089561909, -96.6936716071134 32.717897017767655, -96.69369846979822 32.71860879303648, -96.69364267336638 32.71931936669354, -96.69350475320533 32.72002189541594, -96.69328603568765 32.72070961319901, -96.69298862546931 32.721375896527015, -96.69261538528666 32.722014328177195, -96.69216990844376 32.72261875904231, -96.69165648425323 32.72318336737543, -96.6910800567613 32.723702714885036, -96.69044617715359 32.72417179913986, -96.68976095029905 32.724586101776936, -96.68903097594664 32.72494163204744, -96.68826328514155 32.72523496528029, -96.68746527247427 32.72546327589116, -96.68664462481632 32.725624364618454, -96.68580924723102 32.72571667972277, -96.6849671867751 32.72573933194522, -96.6841265549275 32.725692103079574, -96.68329544939547 32.72557544807581, -96.6824818760538 32.72539049065447, -96.68169367177177 32.72513901247423, -96.68093842887396 32.724823435957504, -96.68022342196488 32.72444680094016, -96.67955553782443 32.72401273537063, -96.67894120905079 32.72352542034221, -96.67838635209145 32.72298954979592, -96.67789631025991 32.72241028528323, -96.67747580228657 32.721793206225954, -96.67712887689952 32.72114425615294, -96.67685887387123 32.720469685433066, -96.67666839190503 32.719775991056686, -96.6765592636687 32.719069854046694, -96.67653253821312 32.7183580751025))",POINT (-96.68511549189 32.718483730463305)
BURBANK STATION,1504,1537,33,517,517,0,"POLYGON ((-96.85358831405318 32.84286330824957, -96.85364290817994 32.84215267014465, -96.85377975101667 32.84144997103066, -96.8539975228096 32.840761978017525, -96.85429412457512 32.840095316439076, -96.85466669838044 32.83945640606331, -96.85511165492444 32.838851399287535, -96.85562470815114 32.838286121912766, -96.85620091656062 32.837766017066706, -96.85683473081824 32.837296092814334, -96.85752004720275 32.83688087395926, -96.85825026637873 32.83652435849912, -96.8590183569273 32.83622997915286, -96.85981692302431 32.83600057032955, -96.8606382756162 32.83583834085537, -96.86147450640898 32.83574485272085, -96.8623175639613 32.83572100605235, -96.86315933115029 32.83576703045142, -96.86399170326791 32.83588248278591, -96.86480666599797 32.83606625145326, -96.86559637252601 32.83631656707573, -96.86635321904234 32.83663101952444, -96.86706991791328 32.83700658110923, -96.86773956781863 32.83743963571173, -96.86835572018119 32.83792601358173, -96.86891244125016 32.83846103146354, -96.86940436924134 32.83903953766631, -96.8698267659838 32.839655961645946, -96.87017556257555 32.84030436762241, -96.87044739860723 32.840978511716735, -96.87063965457496 32.84167190205899, -96.87075047716806 32.84237786128913, -96.87077879718592 32.84308959084941, -96.87072433990859 32.84380023644997, -96.87058762781882 32.84450295407731, -96.87036997564587 32.84519097590995, -96.87007347777637 32.84585767550658, -96.86970098815048 32.84649663163823, -96.86925609283433 32.84710169014917, -96.86874307553099 32.84766702325022, -96.86816687635982 32.84818718567216, -96.86753304430047 32.84865716713742, -96.86684768375827 32.849072440643724, -96.86611739576557 32.84942900609323, -96.86534921438594 32.84972342884588, -96.86455053893401 32.84995287282457, -96.86372906266587 32.85011512785212, -96.86289269862824 32.85020863095597, -96.86204950338308 32.85023248143452, -96.86120759934464 32.85018644953977, -96.86037509648003 32.85007097869195, -96.85956001413001 32.84988718120506, -96.85877020370593 32.849636827564424, -96.85801327301019 32.84932232935985, -96.85729651291138 32.84894671603988, -96.85662682708268 32.84851360571109, -96.85601066548182 32.8480271702652, -96.85545396221461 32.8474920951705, -96.85496207838112 32.84691353431654, -96.85453975045536 32.846297060347545, -96.85419104469469 32.84564861096466, -96.8539193180179 32.84497443171494, -96.85372718572646 32.844281015819334, -96.85361649637817 32.843575041619864, -96.85358831405318 32.84286330824957))",POINT (-96.8621835446455 32.84297674636909)
CAMP WISDOM STATION,2923,2240,-683,988,988,0,"POLYGON ((-96.77952943966307 32.66652516407733, -96.77958451621392 32.66581455023969, -96.77972167161903 32.66511192442584, -96.7799395831256 32.66442405303855, -96.78023615041528 32.663757560238885, -96.78060851589733 32.66311886416751, -96.78105309228572 32.66251411515576, -96.78156559719284 32.66194913651997, -96.78214109440496 32.66142936850841, -96.7827740414401 32.66095981593984, -96.78345834293026 32.660545000036066, -96.78418740931315 32.660188914912, -96.78495422026887 32.65989498914044, -96.7857513922915 32.659666052760734, -96.78657124974615 32.65950431004812, -96.78740589872945 32.65941131830471, -96.7882473030239 32.65938797287613, -96.78908736141781 32.659434498536996, -96.78991798564867 32.659550447328414, -96.79073117822216 32.65973470286785, -96.79151910936066 32.65998549109027, -96.7922741923424 32.66030039731725, -96.79298915650872 32.660676389490625, -96.79365711723825 32.66110984734745, -96.79427164221593 32.66159659725638, -96.79482681336007 32.66213195238113, -96.79531728381177 32.662710757785256, -96.79573832943781 32.66332744004531, -96.79608589435117 32.6639760608957, -96.79635663000926 32.66465037438955, -96.79654792751234 32.665343887026616, -96.79665794278873 32.666049920269714, -96.79668561442246 32.6667616748486, -96.79663067394856 32.66747229623212, -96.79649364851431 32.66817494063929, -96.79627585587787 32.66886284095268, -96.79597939178934 32.6695293718997, -96.79560710987361 32.670168113873686, -96.7951625942053 32.67077291477929, -96.7946501248385 32.67133794930595, -96.79407463662122 32.67185777505741, -96.79344167168976 32.67232738499615, -96.79275732609982 32.67274225569564, -96.79202819110849 32.67309839093513, -96.79126128967219 32.67339236021597, -96.79046400877402 32.673621331826745, -96.78964402823281 32.67378310013832, -96.78880924668218 32.67387610686484, -96.78796770543406 32.67389945608487, -96.78712751096317 32.673852922878105, -96.78629675676143 32.673736955493396, -96.78548344531784 32.67355267102781, -96.78469541097816 32.67330184465804, -96.78394024443008 32.67298689252845, -96.78322521954372 32.67261084846124, -96.78255722327387 32.672177334713574, -96.78194268930135 32.67169052706468, -96.78138753605353 32.671155114569785, -96.78089710970161 32.67057625436997, -96.78047613268403 32.66995952199446, -96.78012865825124 32.66931085763478, -96.77985803146869 32.668636508909884, -96.77966685705216 32.66794297067385, -96.77955697434312 32.66723692244763, -96.77952943966307 32.66652516407733))",POINT (-96.7881075156358 32.666643715694214)
CEDARS STATION,2055,2067,12,1075,1075,0,"POLYGON ((-96.78467259316727 32.76846153943699, -96.78472769369995 32.767750927397714, -96.78486496774794 32.76704829992802, -96.78508309140861 32.76636042344658, -96.7853799623139 32.76569392216349, -96.78575271994326 32.765055214301576, -96.78619777322936 32.76445045030633, -96.78671083518832 32.76388545363935, -96.78728696423953 32.763365664723686, -96.7879206118154 32.762896088580696, -96.78860567580212 32.76248124666068, -96.78933555929636 32.762125133330564, -96.79010323411259 32.76183117743629, -96.79090130843029 32.76160220930881, -96.7917220979308 32.7614404335304, -96.79255769974128 32.76134740772285, -96.79340006847522 32.761324027560796, -96.79424109364035 32.76137051815415, -96.79507267767109 32.761486431882226, -96.79588681383692 32.761670652700346, -96.79667566327949 32.76192140687774, -96.79743163043906 32.76223628006351, -96.7981474361466 32.762612240516994, -96.79881618767973 32.763045668279844, -96.79943144510965 32.763532390009395, -96.79998728330145 32.764067719139405, -96.80047834897137 32.76464650098238, -96.80089991225174 32.7652631623403, -96.8012479122666 32.76591176514731, -96.80151899627836 32.766586063628914, -96.80171055202649 32.76727956442805, -96.80182073294567 32.76798558912036, -96.8018484760175 32.768697338516915, -96.80179351208149 32.76940795813579, -96.80165636850342 32.77011060421247, -96.80143836417199 32.77079850961321, -96.80114159686953 32.771465049016605, -96.80076892313518 32.772103802734854, -96.80032393081225 32.772708618560245, -96.79981090454183 32.77327367103939, -96.79923478453304 32.77379351760436, -96.79860111900597 32.77426315101841, -96.79791601076428 32.774678047630374, -96.79718605841201 32.77503421097147, -96.79641829278084 32.77532821027389, -96.7956201091813 32.77555721353854, -96.79479919613165 32.77571901483286, -96.79396346125266 32.77581205555444, -96.7931209550446 32.775835439455584, -96.79227979328279 32.775788941282634, -96.79144807878215 32.77567300894761, -96.79063382328708 32.77548875921017, -96.78984487024167 32.77523796691247, -96.78908881918707 32.77492304787038, -96.78837295251637 32.77454703558673, -96.78770416529473 32.77411355201171, -96.78708889882239 32.77362677263286, -96.78653307858178 32.77309138623179, -96.78604205716684 32.77251254969688, -96.7856205627445 32.77189583832799, -96.78527265354455 32.7712471921128, -96.78500167881467 32.77057285849403, -96.78481024661568 32.769879332179, -96.78470019876498 32.76917329257262, -96.78467259316727 32.76846153943699))",POINT (-96.79326052317572 32.7685797355431)
